Shape,Depth,Web,Width,Flange
W44x335,44,1.02,16,1.77
W44x290,43.6,0.87,15.8,1.58
W44x285,44.02,1.024,11.811,1.772
W44x262,43.3,0.79,15.8,1.42
W44x248,43.62,0.865,11.811,1.575
W44x230,42.9,0.71,15.8,1.22
W44X224,43.31,0.787,11.811,1.416
W44x198,42.91,0.709,11.811,1.22
W40x655,43.62,1.97,16.87,3.54
W40x593,43,1.79,16.7,3.23
W40x531,42.34,1.61,16.51,2.91
W40x503,42.1,1.54,16.4,2.76
W40x480,41.81,1.46,16.36,2.64
W40x466,42.44,1.67,12.64,2.95
W40x436,41.34,1.34,16.24,2.4
W40x431,41.3,1.34,16.2,2.36
W40x397,41,1.22,16.1,2.2
W40x392,41.6,1.42,12.4,2.52
W40x372,40.6,1.16,16.1,2.05
W40x362,40.6,1.12,16,2.01
W40x331,40.8,1.22,12.2,2.13
W40x328,40,0.91,17.91,1.73
W40x327,40.8,1.18,12.1,2.13
W40x324,40.2,1,15.9,1.81
W40x321,40.08,1,15.91,1.77
W40x298,39.69,0.83,17.83,1.575
W40x297,39.8,0.93,15.8,1.65
W40x278,40.2,1.02,12,1.81
W40x277,39.7,0.83,15.8,1.58
W40x268,39.37,0.75,17.75,1.415
W40x264,40,0.96,11.9,1.73
W40x249,39.4,0.75,15.8,1.42
W40x244,39.06,0.71,17.71,1.26
W40x235,39.7,0.83,11.9,1.58
W40x221,38.67,0.71,17.71,1.065
W40x215,39,0.65,15.8,1.22
W40x211,39.4,0.75,11.8,1.42
W40x199,38.7,0.65,15.8,1.07
W40x192,38.2,0.71,17.71,0.83
W40x183,39,0.65,11.8,1.22
W40x174,38.2,0.65,15.75,0.83
W40x167,38.6,0.65,11.8,1.02
W40x149,38.2,0.63,11.8,0.83
W36x848,42.45,2.52,18.13,4.53
W36x798,42,2.38,18,4.29
W36x720,41.19,2.165,17.775,3.9
W36x650,40.5,1.97,17.6,3.54
W36x588,39.84,1.79,17.4,3.23
W36x527,39.2,1.61,17.2,2.91
W36x485,38.74,1.5,17.105,2.68
W36x439,38.3,1.36,17,2.44
W36x393,37.8,1.22,16.8,2.2
W36x359,37.4,1.12,16.7,2.01
W36x328,37.1,1.02,16.6,1.85
W36x300,36.7,0.945,16.7,1.68
W36x280,36.5,0.885,16.6,1.57
W36x260,36.3,0.84,16.6,1.44
W36x256,37.4,0.96,12.2,1.73
W36x245,36.1,0.8,16.5,1.35
W36x232,37.1,0.87,12.1,1.57
W36x230,35.9,0.76,16.5,1.26
W36x210,36.7,0.83,12.2,1.36
W36x194,36.5,0.765,12.1,1.26
W36x182,36.3,0.725,12.1,1.18
W36x170,36.2,0.68,12,1.1
W36x160,36,0.65,12,1.02
W36x150,35.9,0.625,12,0.94
W36x135,35.6,0.6,12,0.79
W33x619,38.47,1.97,16.91,3.54
W33x567,37.91,1.81,16.75,3.27
W33x515,37.36,1.65,16.59,2.99
W33x468,36.81,1.52,16.455,2.72
W33x424,36.34,1.38,16.315,2.48
W33x387,36,1.26,16.2,2.28
W33x354,35.6,1.16,16.1,2.09
W33x318,35.2,1.04,16,1.89
W33x291,34.8,0.96,15.9,1.73
W33x263,34.5,0.87,15.8,1.57
W33x241,34.2,0.83,15.9,1.4
W33x221,33.9,0.775,15.8,1.27
W33x201,33.7,0.715,15.7,1.15
W33x169,33.8,0.67,11.5,1.22
W33x152,33.5,0.635,11.6,1.06
W33x141,33.3,0.605,11.5,0.96
W33x130,33.1,0.58,11.5,0.855
W33x118,32.9,0.55,11.5,0.74
W30x581,35.39,1.97,16.2,3.54
W30x526,34.76,1.79,16.02,3.23
W30x477,34.21,1.63,15.865,2.95
W30x433,33.66,1.5,15.725,2.68
W30x391,33.2,1.36,15.6,2.44
W30x357,32.8,1.24,15.5,2.24
W30x326,32.4,1.14,15.4,2.05
W30x292,32,1.02,15.3,1.85
W30x261,31.6,0.93,15.2,1.65
W30x235,31.3,0.83,15.1,1.5
W30x211,30.9,0.775,15.1,1.32
W30x191,30.7,0.71,15,1.19
W30x173,30.4,0.655,15,1.07
W30x148,30.7,0.65,10.5,1.18
W30x132,30.3,0.615,10.5,1
W30x124,30.2,0.585,10.5,0.93
W30x116,30,0.565,10.5,0.85
W30x108,29.8,0.545,10.5,0.76
W30x99,29.7,0.52,10.5,0.67
W30x90,29.5,0.47,10.4,0.61
W27x539,32.5,1.97,15.3,3.54
W27x494,31.97,1.81,15.095,3.27
W27x448,31.42,1.65,14.94,2.99
W27x407,30.87,1.52,14.8,2.72
W27x368,30.4,1.38,14.7,2.48
W27x336,30,1.26,14.6,2.28
W27x307,29.6,1.16,14.4,2.09
W27x281,29.3,1.06,14.4,1.93
W27x258,29,0.98,14.3,1.77
W27x235,28.7,0.91,14.2,1.61
W27x217,28.4,0.83,14.1,1.5
W27x194,28.1,0.75,14,1.34
W27x178,27.8,0.725,14.1,1.19
W27x161,27.6,0.66,14,1.08
W27x146,27.4,0.605,14,0.975
W27x129,27.6,0.61,10,1.1
W27x114,27.3,0.57,10.1,0.93
W27x102,27.1,0.515,10,0.83
W27x94,26.9,0.49,9.99,0.745
W27x84,26.7,0.46,9.96,0.64
W24x492,29.65,1.97,14.115,3.54
W24x450,29.09,1.81,13.955,3.27
W24x408,28.54,1.65,13.8,2.99
W24x370,28,1.52,13.7,2.72
W24x335,27.5,1.38,13.5,2.48
W24x306,27.1,1.26,13.4,2.28
W24x279,26.7,1.16,13.3,2.09
W24x250,26.3,1.04,13.2,1.89
W24x229,26,0.96,13.1,1.73
W24x207,25.7,0.87,13,1.57
W24x192,25.5,0.81,13,1.46
W24x176,25.2,0.75,12.9,1.34
W24x162,25,0.705,13,1.22
W24x146,24.7,0.65,12.9,1.09
W24x131,24.5,0.605,12.9,0.96
W24x117,24.3,0.55,12.8,0.85
W24x104,24.1,0.5,12.8,0.75
W24x103,24.5,0.55,9,0.98
W24x94,24.3,0.515,9.07,0.875
W24x84,24.1,0.47,9.02,0.77
W24x76,23.9,0.44,8.99,0.68
W24x68,23.7,0.415,8.97,0.585
W24x62,23.7,0.43,7.04,0.59
W24x55,23.6,0.395,7.01,0.505
W21x402,26.02,1.73,13.405,3.13
W21x364,25.47,1.59,13.265,2.85
W21x333,25,1.46,13.13,2.62
W21x300,24.53,1.32,12.99,2.38
W21x275,24.13,1.22,12.89,2.19
W21x248,23.74,1.1,12.775,1.99
W21x223,23.35,1,12.675,1.79
W21x201,23,0.91,12.6,1.63
W21x182,22.7,0.83,12.5,1.48
W21x166,22.5,0.75,12.4,1.36
W21x147,22.1,0.72,12.5,1.15
W21x132,21.8,0.65,12.4,1.03
W21x122,21.7,0.6,12.4,0.96
W21x111,21.5,0.55,12.3,0.875
W21x101,21.4,0.5,12.3,0.8
W21x93,21.6,0.58,8.42,0.93
W21x83,21.4,0.515,8.36,0.835
W21x73,21.2,0.455,8.3,0.74
W21x68,21.1,0.43,8.27,0.685
W21x62,21,0.4,8.24,0.615
W21x57,21.1,0.405,6.56,0.65
W21x55,20.8,0.375,8.22,0.522
W21x50,20.8,0.38,6.53,0.535
W21x48,20.6,0.35,8.14,0.43
W21x44,20.7,0.35,6.5,0.45
W18x311,22.32,1.52,12.005,2.74
W18x283,21.85,1.4,11.89,2.5
W18x258,21.46,1.28,11.77,2.3
W18x234,21.06,1.16,11.65,2.11
W18x211,20.67,1.06,11.555,1.91
W18x192,20.35,0.96,11.455,1.75
W18x175,20,0.89,11.4,1.59
W18x158,19.7,0.81,11.3,1.44
W18x143,19.5,0.73,11.2,1.32
W18x130,19.3,0.67,11.2,1.2
W18x119,19,0.655,11.3,1.06
W18x106,18.7,0.59,11.2,0.94
W18x97,18.6,0.535,11.1,0.87
W18x86,18.4,0.48,11.1,0.77
W18x76,18.2,0.425,11,0.68
W18x71,18.5,0.495,7.64,0.81
W18x65,18.4,0.45,7.59,0.75
W18x60,18.2,0.415,7.56,0.695
W18x55,18.1,0.39,7.53,0.63
W18x50,18,0.355,7.5,0.57
W18x46,18.1,0.36,6.06,0.605
W18x40,17.9,0.315,6.02,0.525
W18x35,17.7,0.3,6,0.425
W16x100,17,0.585,10.4,0.985
W16x89,16.8,0.525,10.4,0.875
W16x77,16.5,0.455,10.3,0.76
W16x67,16.3,0.395,10.2,0.665
W16x57,16.4,0.43,7.12,0.715
W16x50,16.3,0.38,7.07,0.63
W16x45,16.1,0.345,7.04,0.565
W16x40,16,0.305,7,0.505
W16x36,15.9,0.295,6.99,0.43
W16x31,15.9,0.275,5.53,0.44
W16x26,15.7,0.25,5.5,0.345
W14x808,22.8,3.74,18.6,5.12
W14x730,22.4,3.07,17.9,4.91
W14x665,21.6,2.83,17.7,4.52
W14x605,20.9,2.6,17.4,4.16
W14x550,20.2,2.38,17.2,3.82
W14x500,19.6,2.19,17,3.5
W14x455,19,2.02,16.8,3.21
W14x426,18.7,1.88,16.7,3.04
W14x398,18.3,1.77,16.6,2.85
W14x370,17.9,1.66,16.5,2.66
W14x342,17.5,1.54,16.4,2.47
W14x311,17.1,1.41,16.2,2.26
W14x283,16.7,1.29,16.1,2.07
W14x257,16.4,1.18,16,1.89
W14x233,16,1.07,15.9,1.72
W14x211,15.7,0.98,15.8,1.56
W14x193,15.5,0.89,15.7,1.44
W14x176,15.2,0.83,15.7,1.31
W14x159,15,0.745,15.6,1.19
W14x145,14.8,0.68,15.5,1.09
W14x132,14.7,0.645,14.7,1.03
W14x120,14.5,0.59,14.7,0.94
W14x109,14.3,0.525,14.6,0.86
W14x99,14.2,0.485,14.6,0.78
W14x90,14,0.44,14.5,0.71
W14x82,14.3,0.51,10.1,0.855
W14x74,14.2,0.45,10.1,0.785
W14x68,14,0.415,10,0.72
W14x61,13.9,0.375,9.99,0.645
W14x53,13.9,0.37,8.06,0.66
W14x48,13.8,0.34,8.03,0.595
W14x43,13.7,0.305,8,0.53
W14x38,14.1,0.31,6.77,0.515
W14x34,14,0.285,6.75,0.455
W14x30,13.8,0.27,6.73,0.385
W14x26,13.9,0.255,5.03,0.42
W14x22,13.7,0.23,5,0.335
W12x336,16.8,1.78,13.4,2.96
W12x305,16.3,1.63,13.2,2.71
W12x279,15.9,1.53,13.1,2.47
W12x252,15.4,1.4,13,2.25
W12x230,15.1,1.29,12.9,2.07
W12x210,14.7,1.18,12.8,1.9
W12x190,14.4,1.06,12.7,1.74
W12x170,14,0.96,12.6,1.56
W12x152,13.7,0.87,12.5,1.4
W12x136,13.4,0.79,12.4,1.25
W12x120,13.1,0.71,12.3,1.11
W12x106,12.9,0.61,12.2,0.99
W12x96,12.7,0.55,12.2,0.9
W12x87,12.5,0.515,12.1,0.81
W12x79,12.4,0.47,12.1,0.735
W12x72,12.3,0.43,12,0.67
W12x65,12.1,0.39,12,0.605
W12x58,12.2,0.36,10,0.64
W12x53,12.1,0.345,9.99,0.575
W12x50,12.2,0.37,8.08,0.64
W12x45,12.1,0.335,8.05,0.575
W12x40,11.9,0.295,8.01,0.515
W12x35,12.5,0.3,6.56,0.52
W12x30,12.3,0.26,6.52,0.44
W12x26,12.2,0.23,6.49,0.38
W12x22,12.3,0.26,4.03,0.425
W12x19,12.2,0.235,4.01,0.35
W12x16,12,0.22,3.99,0.265
W12x14,11.9,0.2,3.97,0.225
W10x112,11.4,0.755,10.4,1.25
W10x100,11.1,0.68,10.3,1.12
W10x88,10.8,0.605,10.3,0.99
W10x77,10.6,0.53,10.2,0.87
W10x68,10.4,0.47,10.1,0.77
W10x60,10.2,0.42,10.1,0.68
W10x54,10.1,0.37,10,0.615
W10x49,9.98,0.34,10,0.56
W10x45,10.1,0.35,8.02,0.62
W10x39,9.92,0.315,7.99,0.53
W10x33,9.73,0.29,7.96,0.435
W10x30,10.5,0.3,5.81,0.51
W10x26,10.3,0.26,5.77,0.44
W10x22,10.2,0.24,5.75,0.36
W10x19,10.2,0.25,4.02,0.395
W10x17,10.1,0.24,4.01,0.33
W10x15,9.99,0.23,4,0.27
W10x12,9.87,0.19,3.96,0.21
W8x67,9,0.57,8.28,0.935
W8x58,8.75,0.51,8.22,0.81
W8x48,8.5,0.4,8.11,0.685
W8x40,8.25,0.36,8.07,0.56
W8x35,8.12,0.31,8.02,0.495
W8x31,8,0.285,8,0.435
W8x28,8.06,0.285,6.54,0.465
W8x24,7.93,0.245,6.5,0.4
W8x21,8.28,0.25,5.27,0.4
W8x18,8.14,0.23,5.25,0.33
W8x15,8.11,0.245,4.01,0.315
W8x13,7.99,0.23,4,0.255
W8x10,7.89,0.17,3.94,0.205
W6x25,6.38,0.32,6.08,0.455
W6x20,6.2,0.26,6.02,0.365
W6x16,6.28,0.26,4.03,0.405
W6x15,5.99,0.23,5.99,0.26
W6x12,6.03,0.23,4,0.28
W6x9,5.9,0.17,3.94,0.215
W6x8.5,5.83,0.17,3.94,0.194
W5x19,5.15,0.27,5.03,0.43
W5x16,5.01,0.24,5,0.36
W4x13,4.16,0.28,4.06,0.345
S24x121,24.5,0.8,8.05,1.09
S24x106,24.5,0.62,7.87,1.09
S24x100,24,0.745,7.25,0.87
S24x90,24,0.625,7.13,0.87
S24x80,24,0.5,7,0.87
S20x96,20.3,0.8,7.2,0.92
S20x86,20.3,0.66,7.06,0.92
S20x75,20,0.635,6.39,0.795
S20x66,20,0.505,6.26,0.795
S18x70,18,0.711,6.25,0.691
S18x54.7,18,0.461,6,0.691
S15x50,15,0.55,5.64,0.622
S15x42.9,15,0.411,5.5,0.622
S12x50,12,0.687,5.48,0.659
S12x40.8,12,0.462,5.25,0.659
S12x35,12,0.428,5.08,0.544
S12x31.8,12,0.35,5,0.544
S10x35,10,0.594,4.94,0.491
S10x25.4,10,0.311,4.66,0.491
S8x23,8,0.441,4.17,0.425
S8x18.4,8,0.271,4,0.425
S7x20,7,0.45,3.86,0.392
S7x15.3,7,0.252,3.662,0.392
S6x17.25,6,0.465,3.57,0.359
S6x12.5,6,0.232,3.33,0.359
S5x14.75,5,0.494,3.284,0.326
S5x10,5,0.214,3,0.326
S4x9.5,4,0.326,2.8,0.293
S4x7.7,4,0.193,2.66,0.293
S3x7.5,3,0.349,2.51,0.26
S3x5.7,3,0.17,2.33,0.26
M14x18,14,0.215,4,0.27
M12x11.8,12,0.177,3.07,0.225
M12x10.8,12,0.16,3.07,0.21
M12x10,12,0.149,3.25,0.18
M10x9,10,0.157,2.69,0.206
M10x8,9.95,0.141,2.69,0.182
M10x7.5,9.99,0.13,2.69,0.173
M8x6.5,8,0.135,2.28,0.189
M8x6.2,8,0.129,2.28,0.177
M6x4.4,6,0.114,1.84,0.171
M6x3.7,5.92,0.098,2,0.129
M5x18.9,5,0.316,5,0.416
M4x8,3.8,0.13,3.8,0.16
HP14x117,14.2,0.805,14.9,0.805
HP14x102,14,0.705,14.8,0.705
HP14x89,13.8,0.615,14.7,0.615
HP14x73,13.6,0.505,14.6,0.505
HP13x100,13.15,0.765,13.205,0.765
HP13x87,12.95,0.665,13.105,0.665
HP13x73,12.75,0.565,13.005,0.565
HP13x60,12.54,0.46,12.9,0.46
HP12x84,12.3,0.685,12.3,0.685
HP12x74,12.1,0.605,12.2,0.61
HP12x63,11.9,0.515,12.1,0.515
HP12x53,11.8,0.435,12,0.435
HP10x57,9.99,0.565,10.2,0.565
HP10x42,9.7,0.415,10.1,0.42
HP8x36,8.02,0.445,8.15,0.445
